state,state_code,agency_name,license_lookup_url,search_type,notes,real_estate_board_url
Alabama,AL,Alabama Real Estate Commission,https://arec.alabama.gov/apps/LicenseSearch,form_based,,
Alaska,AK,Alaska Division of Corporations Business and Professional Licensing,https://www.commerce.alaska.gov/web/cbpl/ProfessionalLicensing/ProfessionalLicenseSearch.aspx,form_based,,
Arizona,AZ,Arizona Department of Real Estate,https://services.azre.gov/publicdatabase/SearchIndividuals.aspx,form_based,,
Arkansas,AR,Arkansas Real Estate Commission,https://www.ark.org/arec_renewals/index.php/search/agent,form_based,,
California,CA,California Department of Real Estate,https://www2.dre.ca.gov/PublicASP/pplinfo.asp,form_based,,
Colorado,CO,Colorado Division of Real Estate,https://apps.colorado.gov/dre/licensing/Lookup/LicenseLookup.aspx,form_based,,
Connecticut,CT,Connecticut Department of Consumer Protection,https://www.elicense.ct.gov/Lookup/LicenseLookup.aspx,form_based,,
Delaware,DE,Delaware Division of Professional Regulation,https://delpros.delaware.gov/OH_VerifyLicense,form_based,,
Florida,FL,Florida Department of Business and Professional Regulation,https://www.myfloridalicense.com/wl11.asp?mode=0&SID=,form_based,,
Georgia,GA,Georgia Real Estate Commission,https://ata.grec.state.ga.us/Account/Search,form_based,,
Hawaii,HI,Hawaii Professional & Vocational Licensing,https://mypvl.dcca.hawaii.gov/public-license-search/,form_based,,
Idaho,ID,Idaho Real Estate Commission,https://apps.irec.idaho.gov/PublicSearch,form_based,,
Illinois,IL,Illinois Department of Financial and Professional Regulation,https://online-dfpr.micropact.com/Lookup/LicenseLookup.aspx,form_based,,
Indiana,IN,Indiana Professional Licensing Agency,https://mylicense.in.gov/everification/,form_based,,
Iowa,IA,Iowa Professional Licensing Bureau,https://iowaplb.force.com/LicenseSearchPage,form_based,,
Kansas,KS,Kansas Real Estate Commission,https://licensing.ks.gov/verification_krec/,form_based,,
Kentucky,KY,Kentucky Real Estate Commission,https://oop.ky.gov/,form_based,,
Louisiana,LA,Louisiana Real Estate Commission,http://portal.lrec.gov/public/search,form_based,,
Maine,ME,Maine Department of Professional and Financial Regulation,https://www.pfr.maine.gov/almsonline/almsquery/searchindividual.aspx?AspxAutoDetectCookieSupport=1,form_based,,
Maryland,MD,Maryland Department of Labor,https://www.dllr.state.md.us/cgi-bin/ElectronicLicensing/OP_search/OP_search.cgi?,form_based,,
Massachusetts,MA,Massachusetts Board of Registration of Real Estate Appraisers,https://www.mass.gov/real-estate-appraiser-licensing,form_based,,
Michigan,MI,Michigan Department of Licensing and Regulatory Affairs,https://www.michigan.gov/lara/0,4601,7-154-89334_72600_72602_72731_72859---,00.html,form_based,,
Minnesota,MN,Minnesota Department of Commerce,https://mn.gov/commerce/licensees/appraiser/,form_based,,
Mississippi,MS,Mississippi Real Estate Commission,http://www.mrec.state.ms.us/mab/index_mab.html,form_based,,
Missouri,MO,Missouri Division of Professional Registration,https://www.pr.mo.gov/appraisers.asp,form_based,,
Montana,MT,Montana Board of Real Estate Appraisers,http://boards.bsd.dli.mt.gov/rea,form_based,,
Nebraska,NE,Nebraska Real Estate Commission,https://appraiser.ne.gov/,form_based,,
