Firm Name,License Number,License Type,Firm Type,Address,Initial Cert Date,Expiration Date,Principal Broker,Skidmore License Date,Gap Years,Notes
KETTLER MANAGEMENT INC,0226025311,Real Estate Firm License,Corporation,"8255 GREENSBORO DR STE #200, MCLEAN, VA 22102",2014-10-31,2026-10-31,SKIDMORE CAITLIN MARIE,2025-05-30,11,11-year gap; VA address
BELL PARTNERS INC,0226023603,Real Estate Firm License,Corporation,"300 NORTH GREENE ST SUITE #1000, GREENSBORO, NC 27401",2011-12-28,2025-12-31,SKIDMORE CAITLIN MARIE,2025-05-30,14,14-year gap; NC address
BOZZUTO MANAGEMENT COMPANY,0226024808,Real Estate Firm License,Corporation,"5729 LEBANON RD STE 144553, FRISCO, TX 75034",2013-06-04,2027-06-30,SKIDMORE CAITLIN MARIE,2025-05-30,12,12-year gap; SAME TX ADDRESS as Skidmore
CORTLAND MANAGEMENT LLC,0226038642,Real Estate Firm License,LLC,"5729 LEBANON RD STE 144553, FRISCO, TX 75034",2025-06-30,2027-06-30,SKIDMORE CAITLIN MARIE,2025-05-30,0,Licensed 1 month AFTER Skidmore; SAME TX ADDRESS as Skidmore
GABLES RESIDENTIAL SERVICES INC,0226027221,Real Estate Firm License,Corporation,"5729 LEBANON RD STE 144553, FRISCO, TX 75034",2016-08-17,2026-08-31,SKIDMORE CAITLIN MARIE,2025-05-30,9,9-year gap; SAME TX ADDRESS as Skidmore
GATEWAY MANAGEMENT COMPANY LLC,0226038613,Real Estate Firm License,LLC,"5729 LEBANON RD STE #144553, FRISCO, TX 75034",2025-03-26,2027-03-31,SKIDMORE CAITLIN MARIE,2025-05-30,0,Licensed 2 months BEFORE Skidmore; SAME TX ADDRESS as Skidmore
MCCORMACK BARON MANAGEMENT INC,0226027455,Real Estate Firm License,Corporation,"100 N BROADWAY STE 100, SAINT LOUIS, MO 63102",2016-11-14,2026-11-30,SKIDMORE CAITLIN MARIE,2025-05-30,8.5,8.5-year gap; MO address
BURLINGTON CAPITAL PROPERTIES LLC,0226028898,Real Estate Firm License,LLC,"1004 FARNAM ST STE 400, OMAHA, NE 68102",2018-11-16,2026-11-30,SKIDMORE CAITLIN MARIE,2025-05-30,6.5,6.5-year gap; NE address
BAINBRIDGE MID ATLANTIC MANAGEMENT LLC,0226023854,Real Estate Firm License,LLC,"5729 LEBANON RD STE 144553, FRISCO, TX 75034",2012-04-27,2026-04-30,SKIDMORE CAITLIN MARIE,2025-05-30,13,13-year gap; SAME TX ADDRESS as Skidmore
CAPREIT RESIDENTIAL MANAGEMENT LLC,0226038643,Real Estate Firm License,LLC,"5729 LEBANON RD STE 144553, FRISCO, TX 75034",2025-07-24,2027-07-31,SKIDMORE CAITLIN MARIE,2025-05-30,0,Licensed 2 months AFTER Skidmore; SAME TX ADDRESS as Skidmore
EDGEWOOD MANAGEMENT CORPORATION,0226011870,Real Estate Firm License,Corporation,"9711 WASHINGTON BLVD STE 200, GAITHERSBURG, MD 20878",DATA MISSING,2027-08-31,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Initial Cert Date NOT SHOWN on DPOR record; MD address
MIDDLEBURG MANAGEMENT LLC,0226038324,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
CAPSTONE ON-CAMPUS MANAGEMENT LLC,0226036814,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
CORE CAMPUS MANAGEMENT LLC,0226036650,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
DRHR PROPERTY MANAGEMENT INC,0226038008,Real Estate Firm License,Corporation,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
ENVOLVE CLIENT SERVICES VA LLC,0226036708,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
EVERGREEN REAL ESTATE SERVICES LLC,0226035195,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
FAIRMARK PROPERTIES OF VIRGINIA LP,0226024621,Real Estate Firm License,Limited Partnership,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
FCA MANAGEMENT LLC,0226038078,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
FF PROPERTIES II LP,0226031583,Real Estate Firm License,Limited Partnership,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
FOGELMAN PROPERTIES LLC,0226033119,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
GRUBB MANAGEMENT LLC,0226036622,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
LCOR LAMLP LLC,0226037106,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
LCOR ASSET MANAGEMENT LIMITED PARTNERSHIP,0226002838,Real Estate Firm License,Limited Partnership,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
LINCOLN APARTMENT MANAGEMENT LIMITED PARTNERSHIP,0226026414,Real Estate Firm License,Limited Partnership,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
LANDMARK VENTURE MANAGEMENT LLC,0226031657,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
LMC LIVING LLC,0226031104,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab (Note: Listed as "LMC LIVING, LLC" in DPOR)
MISSION ROCK RESIDENTIAL LLC,0226029441,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
NRP MANAGEMENT LLC,0226037138,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
PEGASUS RESIDENTIAL LLC,0226038088,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
PENNROSE MANAGEMENT COMPANY,0226035194,Real Estate Firm License,Corporation,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
PINNACLE PROPERTY MANAGEMENT SERVICES LLC,0226035674,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
PREFERRED APARTMENT ADVISORS LLC,0226032341,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
TISHCO PROPERTIES LLC,0226034268,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
UIP PROPERTY MANAGEMENT INC,0226035780,Real Estate Firm License,Corporation,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
WEINSTEIN MANAGEMENT CO INC,0226022513,Real Estate Firm License,Corporation,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
MILL CREEK RESIDENTIAL SERVICES LLC,0226038480,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
CAPITAL SQUARE LIVING LLC,0226038564,Real Estate Firm License,LLC,DATA MISSING,DATA MISSING,DATA MISSING,SKIDMORE CAITLIN MARIE,2025-05-30,UNKNOWN,Extracted from Virginia DPOR Related Licenses tab
