"firm_name","license_number","state","connection_type","connection_detail","skidmore_license"
"KETTLER MANAGEMENT INC",226025311,"VA","Principal Broker","Listed as Principal Broker: SKIDMORE CAITLIN MARIE",""
"BELL PARTNERS INC",226023603,"VA","Principal Broker","Listed as Principal Broker: SKIDMORE CAITLIN MARIE",""
"BOZZUTO MANAGEMENT COMPANY",226024808,"VA","Principal Broker","Listed as Principal Broker: SKIDMORE CAITLIN MARIE",""
"CORTLAND MANAGEMENT LLC",226038642,"VA","Principal Broker","Listed as Principal Broker: SKIDMORE CAITLIN MARIE",""
"GABLES RESIDENTIAL SERVICES INC",226027221,"VA","Principal Broker","Listed as Principal Broker: SKIDMORE CAITLIN MARIE",""
"GATEWAY MANAGEMENT COMPANY LLC",226038613,"VA","Principal Broker","Listed as Principal Broker: SKIDMORE CAITLIN MARIE",""
"MCCORMACK BARON MANAGEMENT INC",226027455,"VA","Principal Broker","Listed as Principal Broker: SKIDMORE CAITLIN MARIE",""
"BURLINGTON CAPITAL PROPERTIES LLC",226028898,"VA","Principal Broker","Listed as Principal Broker: SKIDMORE CAITLIN MARIE",""
"BAINBRIDGE MID ATLANTIC MANAGEMENT LLC",226023854,"VA","Principal Broker","Listed as Principal Broker: SKIDMORE CAITLIN MARIE",""
"CAPREIT RESIDENTIAL MANAGEMENT LLC",226038643,"VA","Principal Broker","Listed as Principal Broker: SKIDMORE CAITLIN MARIE",""
"EDGEWOOD MANAGEMENT CORPORATION",226011870,"VA","Principal Broker","Listed as Principal Broker: SKIDMORE CAITLIN MARIE",""
